xmi:type,name,xmi:id,type,href,source,target,aggregation,association,memberEnd,key,value,visibility,classifier_behavior,isActive,kind,valueType,description,second_value
,RootElement,_pJ8eYBHQEeaen93uATCTQQ,,,,,,,,,,public,,,,,,
Class,MAIN,_eQ3PwNi0EeaI3IcGROryBQ,,,,,,,,,,,,,,,,
StateMachine,MAIN,_36PIkNiyEeaI3IcGROryBQ,,,,,,,,,,,,,,,,
Region,Region1,_4lXJMNiyEeaI3IcGROryBQ,,,,,,,,,,,,,,,,
SubmodelElementCollection,,_Sd2UsNi0EeaI3IcGROryBQ,,,,,,,,,,,,,,,,
Transition,,_Sd2UsNi0EeaI3IcGROryBQ,,,_QJAZsNizEeaI3IcGROryBQ,_Tefu0NizEeaI3IcGROryBQ,,,,,,,,,,,,
End-SubmodelElementCollection,,,,,,,,,,,,,,,,,,
SubmodelElementCollection,,_WDBEkNi0EeaI3IcGROryBQ,,,,,,,,,,,,,,,,
Transition,,_WDBEkNi0EeaI3IcGROryBQ,,,_Tefu0NizEeaI3IcGROryBQ,_UHDuMNi0EeaI3IcGROryBQ,,,,,,,,,,,,
End-SubmodelElementCollection,,,,,,,,,,,,,,,,,,
Pseudostate,Pseudostate,_QJAZsNizEeaI3IcGROryBQ,,,,,,,,,,,,,,,,
State,Main_Program,_Tefu0NizEeaI3IcGROryBQ,,,,,,,,,,,,,,,,
SubmodelElementCollection,doActivities,,,,,,,,,,,,,,,,,
Property,PPU(),_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,,,,,,,,
Property,PPU.stack(),_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,,,,,,,,
Property,PPU.crane(),_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,,,,,,,,
Property,PPU.stamp(),_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,,,,,,,,
Property,PPU.largeSortingConveyor(),_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,,,,,,,,
Property,Stack_WPType,_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,PPU.stack.WPType,,,,,,,
Property,Crane_WPType,_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,PPU.crane.WPType,,,,,,,
Property,Stamp_WPType,_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,PPU.stamp.WPType,,,,,,,
Property,Stack_WPProvided,_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,PPU.stack.WPProvided,,,,,,,
Property,Crane_Allow_Conveyor_to_Operate,_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,PPU.crane.Conveyor_AllowedToOperate,,,,,,,
Property,Crane_Allow_Stamp_to_Operate,_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,PPU.crane.Stamp_AllowedToOperate,,,,,,,
Property,Crane_PickedUpStackWP,_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,PPU.crane.Table.Potentiometer.AtStack AND PPU.crane.WPPickedUp,,,,,,,
Property,Stamp_IsStamping,_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,PPU.stamp.IsStamping,,,,,,,
Property,Stamp_WPAvailable,_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,PPU.Stamp.WPAvailable.DI_SwitchTrue,,,,,,,
Property,Stamp_AutomaticExecuteCompleted,_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,PPU.Stamp.AutomaticExecuteCompleted,,,,,,,
Property,LargeSortingConveyor_AllowedToOperate,_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,Crane_Allow_Conveyor_to_Operate,,,,,,,
Property,LargeSortingConveyor_IsSorting,_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,PPU.largeSortingConveyor.IsSorting,,,,,,,
Property,LargeSortingConveyor_AutomaticExecuteCompleted,_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,PPU.largeSortingConveyor.AutomaticExecuteCompleted,,,,,,,
End-SubmodelElementCollection,,,,,,,,,,,,,,,,,,
Property,xmi:type,_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,OpaqueBehavior,,,,,,,
End-State,,,,,,,,,,,,,,,,,,
FinalState,FinalState,_UHDuMNi0EeaI3IcGROryBQ,,,,,,,,,,,,,,,,
End-Region,,,,,,,,,,,,,,,,,,
End-StateMachine,,,,,,,,,,,,,,,,,,
End-Class,,,,,,,,,,,,,,,,,,
Class,PPU,_2ub-IBHQEeaen93uATCTQQ,,,,,,,,,,public,_MqflwBHREeaen93uATCTQQ,,,,,
StateMachine,PPU_ACT_AutomaticExecute,_MqflwBHREeaen93uATCTQQ,,,,,,,,,,,,,,,,
Region,Stack_Automatic_Execute,_NA0bEBHREeaen93uATCTQQ,,,,,,,,,,,,,,,,
SubmodelElementCollection,,_mdtwEBzxEeaHnYHMiM-I7Q,,,,,,,,,,,,,,,,
Transition,[not stack.DI_WPAvailable],_mdtwEBzxEeaHnYHMiM-I7Q,,,__3w-ABzwEeaHnYHMiM-I7Q,,,,,,,,,,,,,
Property,[not stack.DI_WPAvailable],,,,,,,,,,,,,,,,,
End-SubmodelElementCollection,,,,,,,,,,,,,,,,,,
SubmodelElementCollection,,_B8KMwBzzEeaHnYHMiM-I7Q,,,,,,,,,,,,,,,,
Transition,[stack.seperator.DI_Retracted],_B8KMwBzzEeaHnYHMiM-I7Q,,,,__3w-ABzwEeaHnYHMiM-I7Q,,,,,,,,,,,,
Property,[stack.seperator.DI_Retracted],,,,,,,,,,,,,,,,,
End-SubmodelElementCollection,,,,,,,,,,,,,,,,,,
SubmodelElementCollection,,_91Ek4EmPEea0ovNLUKsTWw,,,,,,,,,,,,,,,,
Transition,[Not AutomaticExecuteCompleted],_91Ek4EmPEea0ovNLUKsTWw,,,__3w-ABzwEeaHnYHMiM-I7Q,_HmjigEmPEea0ovNLUKsTWw,,,,,,,,,,,,
Property,[Not AutomaticExecuteCompleted],,,,,,,,,,,,,,,,,
End-SubmodelElementCollection,,,,,,,,,,,,,,,,,,
SubmodelElementCollection,,_JaJKkEmQEea0ovNLUKsTWw,,,,,,,,,,,,,,,,
Transition,[true],_JaJKkEmQEea0ovNLUKsTWw,,,,_HmjigEmPEea0ovNLUKsTWw,,,,,,,,,,,,
Property,[true],,,,,,,,,,,,,,,,,
End-SubmodelElementCollection,,,,,,,,,,,,,,,,,,
SubmodelElementCollection,,_e7t-IGVGEeaSMugellPalg,,,,,,,,,,,,,,,,
Transition,[AutomaticExecuteCompleted],_e7t-IGVGEeaSMugellPalg,,,_HmjigEmPEea0ovNLUKsTWw,__3w-ABzwEeaHnYHMiM-I7Q,,,,,,,,,,,,
Property,[AutomaticExecuteCompleted],,,,,,,,,,,,,,,,,
End-SubmodelElementCollection,,,,,,,,,,,,,,,,,,
Pseudostate,Pseudostate,__3w-ABzwEeaHnYHMiM-I7Q,,,,,,,,,,,,,,,,
State,Call_All,_HmjigEmPEea0ovNLUKsTWw,,,,,,,,,,,,,,,,
SubmodelElementCollection,doActivities,,,,,,,,,,,,,,,,,
Property,EmergencyStop,_g2uxcLcYEeaSbZaN2J4zjw,,,,,,,,,stack.EmergencyStop OR largeSortingConveyor.EmergencyStop OR stamp.EmergencyStop OR crane.SoftwareEmergency OR stamp.SoftwareEmergency,,,,,,,
Property,StartButton,_g2uxcLcYEeaSbZaN2J4zjw,,,,,,,,,stack.StartButton OR largeSortingConveyor.StartButton OR stamp.StartButton,,,,,,,
Property,crane.ACT_AutomaticExecute() AND largeSortingConveyor.ACT_AutomaticExecute()  AND stack.ACT_AutomaticExecute() AND stamp.ACT_AutomaticExecute(),_g2uxcLcYEeaSbZaN2J4zjw,,,,,,,,,,,,,,,,
End-SubmodelElementCollection,,,,,,,,,,,,,,,,,,
Property,xmi:type,_g2uxcLcYEeaSbZaN2J4zjw,,,,,,,,,OpaqueBehavior,,,,,,,
End-State,,,,,,,,,,,,,,,,,,
End-Region,,,,,,,,,,,,,,,,,,
End-StateMachine,,,,,,,,,,,,,,,,,,
StateMachine,PPU_ACT_Init,_TZ6bsCZ4EeagIsaxH253Xw,,,,,,,,,,,,,,,,
Region,Region1,_U3el4CZ4EeagIsaxH253Xw,,,,,,,,,,,,,,,,
SubmodelElementCollection,,_WKieUCZ6EeagIsaxH253Xw,,,,,,,,,,,,,,,,
Transition,[true],_WKieUCZ6EeagIsaxH253Xw,,,_ZifjgCZ4EeagIsaxH253Xw,,,,,,,,,,,,,
Property,[true],,,,,,,,,,,,,,,,,
End-SubmodelElementCollection,,,,,,,,,,,,,,,,,,
SubmodelElementCollection,,_tnEaMCZ6EeagIsaxH253Xw,,,,,,,,,,,,,,,,
Transition,[conveyorPicAlpha.Initialized],_tnEaMCZ6EeagIsaxH253Xw,,,,_NMNRYCZ6EeagIsaxH253Xw,,,,,,,,,,,,
Property,[conveyorPicAlpha.Initialized],,,,,,,,,,,,,,,,,
End-SubmodelElementCollection,,,,,,,,,,,,,,,,,,
SubmodelElementCollection,,_yI_tQCZ6EeagIsaxH253Xw,,,,,,,,,,,,,,,,
Transition,[refillConveyor.Initialized],_yI_tQCZ6EeagIsaxH253Xw,,,,_GQMhgCZ6EeagIsaxH253Xw,,,,,,,,,,,,
Property,[refillConveyor.Initialized],,,,,,,,,,,,,,,,,
End-SubmodelElementCollection,,,,,,,,,,,,,,,,,,
SubmodelElementCollection,,_5WGNICZ6EeagIsaxH253Xw,,,,,,,,,,,,,,,,
Transition,[largeSortingConveyor.InitCompleted],_5WGNICZ6EeagIsaxH253Xw,,,_4k85gCZ5EeagIsaxH253Xw,_NMNRYCZ6EeagIsaxH253Xw,,,,,,,,,,,,
Property,[largeSortingConveyor.InitCompleted],,,,,,,,,,,,,,,,,
End-SubmodelElementCollection,,,,,,,,,,,,,,,,,,
SubmodelElementCollection,,_-11MQCZ6EeagIsaxH253Xw,,,,,,,,,,,,,,,,
Transition,[stamp.InitCompleted],_-11MQCZ6EeagIsaxH253Xw,,,_GQMhgCZ6EeagIsaxH253Xw,_ArsXICZ6EeagIsaxH253Xw,,,,,,,,,,,,
Property,[stamp.InitCompleted],,,,,,,,,,,,,,,,,
End-SubmodelElementCollection,,,,,,,,,,,,,,,,,,
SubmodelElementCollection,,_DiMNsCZ7EeagIsaxH253Xw,,,,,,,,,,,,,,,,
Transition,[crane.InitCompleted],_DiMNsCZ7EeagIsaxH253Xw,,,_ArsXICZ6EeagIsaxH253Xw,_4k85gCZ5EeagIsaxH253Xw,,,,,,,,,,,,
Property,[crane.InitCompleted],,,,,,,,,,,,,,,,,
End-SubmodelElementCollection,,,,,,,,,,,,,,,,,,
SubmodelElementCollection,,_H4VukCZ7EeagIsaxH253Xw,,,,,,,,,,,,,,,,
Transition,[stack.InitCompleted],_H4VukCZ7EeagIsaxH253Xw,,,_NMNRYCZ6EeagIsaxH253Xw,_DjY9wLcZEeaSbZaN2J4zjw,,,,,,,,,,,,
Property,[stack.InitCompleted],,,,,,,,,,,,,,,,,
End-SubmodelElementCollection,,,,,,,,,,,,,,,,,,
SubmodelElementCollection,,_plwosGV3Eeab9L8V4_TyWg,,,,,,,,,,,,,,,,
Transition,[NOT InitCompleted],_plwosGV3Eeab9L8V4_TyWg,,,_uZGVUNgJEeaLleG51tH3Eg,_HxvYkNgKEeaLleG51tH3Eg,,,,,,,,,,,,
Property,[NOT InitCompleted],,,,,,,,,,,,,,,,,
End-SubmodelElementCollection,,,,,,,,,,,,,,,,,,
