xmi:type,name,xmi:id,type,href,source,target,aggregation,association,memberEnd,key,value,visibility,classifier_behavior,isActive,kind,valueType,description,second_value
SubmodelElementCollection,StateDiagram,,,,,,,,,,,,,,,,,
,RootElement,_pJ8eYBHQEeaen93uATCTQQ,,,,,,,,,,public,,,,,,
Class,MAIN,_eQ3PwNi0EeaI3IcGROryBQ,,,,,,,,,,,,,,,,
StateMachine,MAIN,_36PIkNiyEeaI3IcGROryBQ,,,,,,,,,,,,,,,,
SubmodelElementCollection,,_Sd2UsNi0EeaI3IcGROryBQ,,,,,,,,,,,,,,,,
Transition,,_Sd2UsNi0EeaI3IcGROryBQ,,,_QJAZsNizEeaI3IcGROryBQ,_Tefu0NizEeaI3IcGROryBQ,,,,,,,,,,,,
End-SubmodelElementCollection,,,,,,,,,,,,,,,,,,
SubmodelElementCollection,,_WDBEkNi0EeaI3IcGROryBQ,,,,,,,,,,,,,,,,
Transition,,_WDBEkNi0EeaI3IcGROryBQ,,,_Tefu0NizEeaI3IcGROryBQ,_UHDuMNi0EeaI3IcGROryBQ,,,,,,,,,,,,
End-SubmodelElementCollection,,,,,,,,,,,,,,,,,,
Pseudostate,Pseudostate,_QJAZsNizEeaI3IcGROryBQ,,,,,,,,,,,,,,,,
State,Main_Program,_Tefu0NizEeaI3IcGROryBQ,,,,,,,,,,,,,,,,
SubmodelElementCollection,doActivities,,,,,,,,,,,,,,,,,
Property,PPU(),_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,,,,,,,,
Property,PPU.stack(),_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,,,,,,,,
Property,PPU.crane(),_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,,,,,,,,
Property,PPU.stamp(),_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,,,,,,,,
Property,PPU.largeSortingConveyor(),_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,,,,,,,,
Property,PPU.PicAlphaConveoyr(),_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,,,,,,,,
Property,PPU.SmallSortingConveyor(),_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,,,,,,,,
Property,PPU.RefillConveyor(),_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,,,,,,,,
Property,Check_Stack_WPPickedUp,_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,PPU.Crane.Table.AtStack.DI_SwitchTrue AND PPU.Crane.WPPickedUp,,,,,,,
Property,Stack_WPProvided,_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,PPU.Stack.WPProvided,,,,,,,
Property,Stack_WPType,_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,PPU.Stack.WPType,,,,,,,
Property,Stack_WPWeight,_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,PPU.Stack.WPWeight,,,,,,,
Property,Check_Stack_WPProvided,_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,Stack_WPProvided,,,,,,,
Property,Check_Stack_WPType,_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,Stack_WPType,,,,,,,
Property,Check_LargeSortingConveyor_IsSorting,_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,LargeSortingConveyor_IsSorting,,,,,,,
Property,Check_LargeSortingConveyor_AutomaticExecuteCompleted,_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,LargeSortingConveyor_AutomaticExecuteCompleted,,,,,,,
Property,Check_Stamp_IsStamping,_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,Stamp_IsStamping,,,,,,,
Property,Check_Stamp_WPAvailable,_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,Stamp_WPAvailable,,,,,,,
Property,Check_Stamp_AutomaticExecuteCompleted,_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,Stamp_AutomaticExecuteCompleted,,,,,,,
Property,Check_RefillConveyor_IsSending,_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,RefillConveyor_IsSending,,,,,,,
Property,Crane_WPType,_HN2AENi0EeaI3IcGROryBQ,,,,,,,,,PPU.Crane.WPType,,,,,,,
